2021-08-20 03:04:22 - record_data - ERROR - Данные {'guid': '0B7DCCC6-0E49-4BD1-99E4-5CD7883E6578', 'status': 'ACTIVE', 'code': '58030148', 'name': 'Бюджет Северного сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619450', 'foorgcode': '', 'foorgcodeubp': '14116', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:40:43.0', 'loaddate': '2021-07-24 22:20:41.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:22 - record_data - ERROR - Данные {'guid': '15CB7193-8D8E-4477-B298-9C864B35EDDA', 'status': 'ACTIVE', 'code': '58030149', 'name': 'Бюджет Фомино-Свечниковского сельского поселения Кашарского района', 'parentcode': '58030140', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60624475', 'foorgcode': '', 'foorgcodeubp': '11208', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:32:52.0', 'loaddate': '2021-07-24 22:20:09.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:22 - record_data - ERROR - Данные {'guid': 'EC92C55E-2C72-4FE4-AC7F-1A51574B8A83', 'status': 'ACTIVE', 'code': '58030150', 'name': 'Бюджет Талловеровского сельского поселения Кашарского района', 'parentcode': '58030140', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60624470', 'foorgcode': '', 'foorgcodeubp': '11781', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:15:20.0', 'loaddate': '2021-07-24 22:18:56.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:22 - record_data - ERROR - Данные {'guid': 'D38488FE-2722-4542-9391-AF7C83E50596', 'status': 'ACTIVE', 'code': '58030151', 'name': 'Бюджет Гашунского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619410', 'foorgcode': '', 'foorgcodeubp': '14110', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:51:17.0', 'loaddate': '2021-07-24 22:21:31.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:22 - record_data - ERROR - Данные {'guid': 'F6753224-BA19-4853-8873-E8117086A475', 'status': 'ACTIVE', 'code': '58030152', 'name': 'Бюджет Верхнесвечниковского сельского поселения Кашарского района', 'parentcode': '58030140', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60624415', 'foorgcode': '', 'foorgcodeubp': '11210', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:18:03.0', 'loaddate': '2021-07-24 22:19:10.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:23 - record_data - ERROR - Данные {'guid': 'D0EE057D-F88B-4AFC-B5B3-CF18AE6B9CF3', 'status': 'ACTIVE', 'code': '58030153', 'name': 'Бюджет Мокрогашунского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619435', 'foorgcode': '', 'foorgcodeubp': '14115', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:53:44.0', 'loaddate': '2021-07-24 22:21:46.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:23 - record_data - ERROR - Данные {'guid': 'B307B6A6-0FD7-43F0-9428-E996E69E12ED', 'status': 'ACTIVE', 'code': '58030154', 'name': 'Бюджет Глубочанского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619415', 'foorgcode': '', 'foorgcodeubp': '14114', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:23:36.0', 'loaddate': '2021-07-24 22:19:33.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:23 - record_data - ERROR - Данные {'guid': '66AB7C58-87B0-4895-B425-A169D88C9F61', 'status': 'ACTIVE', 'code': '58030155', 'name': 'Бюджет Кашарского сельского поселения Кашарского района', 'parentcode': '58030140', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60624430', 'foorgcode': '', 'foorgcodeubp': '11779', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:32:56.0', 'loaddate': '2021-07-24 22:20:10.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:23 - record_data - ERROR - Данные {'guid': 'DEFB144B-F8DB-461A-8C87-9920273FF67F', 'status': 'ACTIVE', 'code': '58030156', 'name': 'Бюджет Вяжинского сельского поселения Кашарского района', 'parentcode': '58030140', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60624420', 'foorgcode': '', 'foorgcodeubp': '11198', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:36:29.0', 'loaddate': '2021-07-24 22:20:23.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:23 - record_data - ERROR - Данные {'guid': 'D2092210-A725-4978-8B58-752D59FFAB7E', 'status': 'ACTIVE', 'code': '58030157', 'name': 'Бюджет Камышевского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619420', 'foorgcode': '', 'foorgcodeubp': '14117', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 01:00:52.0', 'loaddate': '2021-07-24 22:22:26.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:23 - record_data - ERROR - Данные {'guid': '3684090D-DD1F-4D46-8201-0C52D147DC07', 'status': 'ACTIVE', 'code': '58030158', 'name': 'Бюджет Индустриального сельского поселения Кашарского района', 'parentcode': '58030140', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60624425', 'foorgcode': '', 'foorgcodeubp': '11200', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:52:37.0', 'loaddate': '2021-07-24 22:21:39.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
